Democratic Committee Staff,% of Staff Who Identify As Non-Caucasian,Latino,Black or African-American,Asian or Pacific Islander,Middle Eastern or North African,"Native American, Hawaiian or Alaskan",Female,Male,Type
Aging,40%,20%,20%,0%,0%,0%,60%,40%,cmte
Agriculture,0%,0%,0%,0%,0%,0%,62%,38%,cmte
Appropriations,5%,0%,2%,2%,0%,0%,50%,50%,cmte
Armed Services,13%,0%,0%,6%,6%,0%,38%,63%,cmte
Banking,17%,0%,17%,0%,0%,0%,42%,58%,cmte
Budget,15%,10%,5%,0%,0%,0%,40%,60%,cmte
Commerce,25%,4%,8%,13%,0%,0%,46%,54%,cmte
Energy,24%,14%,5%,5%,0%,0%,29%,71%,cmte
EPW,14%,0%,5%,5%,0%,5%,57%,43%,cmte
Finance,6%,0%,3%,0%,0%,3%,42%,58%,cmte
Foreign Relations,18%,7%,7%,4%,0%,0%,46%,54%,cmte
HELP,27%,7%,7%,17%,0%,0%,67%,33%,cmte
HSGAC,35%,4%,9%,22%,0%,0%,61%,39%,cmte
Indian Affairs,100%,43%,0%,14%,0%,71%,43%,57%,cmte
JEC,50%,13%,19%,19%,0%,0%,56%,44%,cmte
Judiciary,23%,9%,5%,9%,0%,0%,55%,45%,cmte
Rules,33%,0%,0%,17%,17%,0%,67%,33%,cmte
Small Business,25%,13%,13%,0%,0%,0%,63%,38%,cmte
Veterans Affairs,33%,33%,0%,0%,0%,0%,56%,44%,cmte
Sen. Tammy Baldwin,11%,4%,4%,2%,0%,2%,52%,48%,senator
Sen. Michael Bennet,43%,30%,5%,5%,5%,0%,66%,34%,senator
Sen. Richard Blumenthal,38%,12%,20%,6%,4%,2%,52%,48%,senator
Sen. Cory Booker,57%,23%,26%,9%,6%,6%,50%,50%,senator
Sen. Sherrod Brown,27%,5%,20%,3%,0%,0%,58%,42%,senator
Sen. Maria Cantwell,36%,11%,7%,16%,2%,9%,46%,54%,senator
Sen. Ben Cardin,45%,0%,30%,10%,0%,5%,55%,45%,senator
Sen. Tom Carper,33%,5%,14%,7%,2%,5%,50%,50%,senator
Sen. Robert Casey,24%,6%,20%,2%,0%,0%,61%,39%,senator
Sen. Chris Coons,14%,5%,10%,0%,0%,0%,56%,44%,senator
Sen. Catherine Cortez Mastro,49%,31%,5%,13%,0%,15%,59%,41%,senator
Sen. Joe Donnelly,23%,12%,7%,2%,2%,5%,51%,49%,senator
Sen. Tammy Duckworth,38%,9%,16%,11%,4%,4%,53%,47%,senator
Sen. Richard Durbin,39%,8%,24%,10%,4%,3%,61%,39%,senator
Sen. Diane Feinstein,35%,12%,9%,11%,5%,8%,44%,56%,senator
Sen. Al Franken,19%,2%,7%,0%,5%,7%,47%,53%,senator
Sen. Kristen Gillibrand,48%,14%,22%,13%,2%,3%,63%,37%,senator
Sen. Kamala Harris,61%,27%,22%,16%,2%,14%,52%,48%,senator
Sen. Maggie Hassan,18%,11%,0%,5%,3%,3%,55%,45%,senator
Sen. Martin Heinrich,43%,40%,2%,2%,2%,10%,58%,42%,senator
Sen. Heidi Heitkamp,10%,0%,4%,2%,0%,4%,58%,42%,senator
Sen. Mazie Hirono,61%,2%,4%,52%,0%,15%,50%,50%,senator
Sen. Tim Kaine,41%,7%,26%,7%,2%,0%,52%,48%,senator
Sen. Angus King,11%,0%,4%,4%,2%,0%,47%,53%,senator
Sen. Amy Klobuchar,29%,8%,10%,8%,2%,4%,43%,57%,senator
Sen. Patrick Leahy,17%,3%,8%,6%,0%,0%,56%,44%,senator
Sen. Joe Manchin,9%,2%,5%,2%,0%,0%,57%,43%,senator
Sen. Ed Markey,25%,13%,6%,6%,0%,9%,50%,50%,senator
Sen. Claire McCaskill,22%,2%,20%,0%,0%,2%,57%,43%,senator
Sen. Robert Menendez,36%,16%,13%,2%,7%,4%,40%,60%,senator
Sen. Jeff Merkley,23%,9%,2%,11%,0%,2%,60%,40%,senator
Sen. Chris Murphy,32%,15%,17%,0%,2%,7%,56%,44%,senator
Sen. Patty Murray,20%,7%,7%,7%,0%,2%,64%,36%,senator
Sen. Bill Nelson,42%,18%,21%,4%,3%,4%,66%,34%,senator
Sen. Gary Peters,41%,6%,25%,8%,6%,2%,51%,49%,senator
Sen. Jack Reed,26%,6%,0%,13%,6%,0%,45%,55%,senator
Sen. Bernie Sanders,16%,2%,7%,2%,4%,0%,63%,38%,senator
Sen. Brian Schatz,66%,9%,2%,55%,0%,19%,53%,47%,senator
Sen. Charles Schumer,43%,14%,19%,9%,5%,3%,55%,45%,senator
Sen. Jeanne Shaheen,19%,8%,8%,3%,0%,3%,65%,35%,senator
Sen. Debbie Stabenow,42%,10%,21%,5%,6%,5%,48%,52%,senator
Sen. Jon Tester,7%,0%,0%,2%,0%,4%,56%,44%,senator
Sen. Tom Udall,52%,43%,2%,2%,2%,11%,46%,54%,senator
Sen. Chris Van Hollen,54%,10%,36%,8%,0%,5%,64%,36%,senator
Sen. Mark Warner,35%,8%,24%,6%,2%,0%,53%,47%,senator
Sen. Elizabeth Warren,34%,8%,15%,9%,6%,4%,49%,51%,senator
Sen. Sheldon Whitehouse,29%,4%,16%,4%,11%,4%,56%,44%,senator
Sen. Ron Wyden,20%,5%,7%,5%,2%,2%,55%,45%,senator
